ID,TITLE,CONTENTS,NEWSDAY,IMAGE,COMPANY
12,흑백요리사로 대박 난 백종원…무려 4900억 ‘잭팟’ 터졌다는데,"백종원 대표가 이끄는 외식 프랜차이즈 기업 더본코리아가 기관투자자 수요예측 결과 공모가를 3만4000원으로 확정했다. 25일 더본코리아..
										 
|",2024-10-25 18:59:06,C:\gitmain\scrap\images2\흑백요리사로 대박 난 백종원…무려 4900억 ‘잭팟’ 터졌다는데.png,매일경제
13,"‘마이크로바이옴’ HEM파마, 일반청약서 증거금 2.7조원","에어레인은 1.4조원 모아 마이크로바이옴 전문 기업 에이치이엠파마가 일반청약에서 경쟁률 672.17대1을 기록했다. 에이치이엠파마는 이..
										 
|",2024-10-25 18:38:12,"C:\gitmain\scrap\images2\‘마이크로바이옴’ HEM파마, 일반청약서 증거금 2.7조원.png",매일경제
14,'20만닉스' 컴백한 날…청산가치 밑으로 추락한 삼전,"삼성전자에 대한 외국인 매도세가 거세지면서 주가가 주당순자산가치(BPS)에 미치지 못하는 현상이 발생했다. 삼성전자의 시가총액이 모든 ..
										 
|",2024-10-25 18:10:20,C:\gitmain\scrap\images2\'20만닉스' 컴백한 날…청산가치 밑으로 추락한 삼전.png,한국경제
15,고려아연 주가 125만원…장중 시총 10위 진입도,"▶마켓인사이트 10월 25일 오후 4시 4분 고려아연 주가가 이틀째 폭등하면서 시가총액 상위 13위에 진입했다. 이 회사 경영권을 놓고..
										 
|",2024-10-25 18:08:18,C:\gitmain\scrap\images2\고려아연 주가 125만원…장중 시총 10위 진입도.png,한국경제
16,兆대어만 4~5개…1월 공모주 '황금어장',"▶마켓인사이트 10월 25일 오후 1시 57분 ‘조(兆) 단위’ 대어들이 줄줄이 내년 1분기 증시 입성을 추진 중이다. 연초 증시에 자..
										 
|",2024-10-25 18:07:14,C:\gitmain\scrap\images2\兆대어만 4~5개…1월 공모주 '황금어장'.png,한국경제
17,"SK하닉 목표가 반토막 내더니, 모건스탠리 ""틀렸네""…1만원 찔끔 상향","모건스탠리가 SK하이닉스(000660)에 대한 단기 예상이 빗나갔다고 인정하며 목표주가를 소폭 상향했다. 다만 메모리 반도체 시장에 대..
										 
|",2024-10-25 17:57:24,"C:\gitmain\scrap\images2\SK하닉 목표가 반토막 내더니, 모건스탠리 틀렸네…1만원 찔끔 상향.png",뉴스1
18,"이지스운용, 이규성·강영구 2인 대표체제로 조직 개편","이지스자산운용이 전사 협업 체계를 강화하기 위해 이규성 경영부문 대표, 강영구 운용부문 대표의 2인 대표체제로 조직 개편에 나섰다. 2..
										 
|",2024-10-25 17:54:11,"C:\gitmain\scrap\images2\이지스운용, 이규성·강영구 2인 대표체제로 조직 개편.png",데일리안
19,"""밸류업 노하우 함께 나누자"" 신한금융, 고객사에 컨설팅","'기업 밸류업 컨퍼런스' 개최 100개 상장사 참석해 상담 신한금융이 지난주 상장 고객사 100여 곳을 초청해 '기업 밸류업 컨퍼런스'..
										 
|",2024-10-25 17:54:10,"C:\gitmain\scrap\images2\밸류업 노하우 함께 나누자 신한금융, 고객사에 컨설팅.png",매일경제
20,"""트럼프 당선땐 2억 간다""… 美대선앞 비트코인 출렁","비트코인 미체결약정 54조 역대 최대 수준으로 늘어 ◆ 가상자산 규제 ◆ 미국 대통령선거를 앞두고 비트코인 가격 변동성이 커지고 있다...
										 
|",2024-10-25 17:53:06,C:\gitmain\scrap\images2\트럼프 당선땐 2억 간다… 美대선앞 비트코인 출렁.png,매일경제
21,"신한투자증권, 3분기 순손실 168억…""LP 운용손실 영향""","신한투자증권이 올 3분기 168억원의 당기순손실을 냈다. 상장지수펀드(ETF) 유동성공급(LP) 운용 과정에서 1300억원의 손실을 낸..
										 
|",2024-10-25 17:50:19,"C:\gitmain\scrap\images2\신한투자증권, 3분기 순손실 168억…LP 운용손실 영향.png",한국경제
